paper_id,year,title,raw_authors
hep-th/9709187,1997,Skyrmions and domain walls in (2+1) dimensions,"A. Kudryavtsev, B. Piette and W.J. Zakrzewski"
hep-th/9711043,1997,M-brane intersections from worldvolume superalgebras,"Eric Bergshoeff, Joaquim Gomis and Paul K. Townsend"
hep-th/9710128,1997,On One-Loop Gap Equations for the Magnetic Mass in d=3 Gauge Theory,John M. Cornwall
hep-th/9706224,1997,Master Ward Identity for Nonlocal Symmetries in D=2 Principal Chiral Models,Miao Li (Univ. of Chicago) and Yong-Shi Wu (Univ. of Utah)
hep-th/9704157,1997,T-Duality and Two-Loop Renormalization Flows,Peter E. Haagensen and Kasper Olsen
hep-th/9710054,1997,On the Poisson Structure of the Time-Dependent Mean-Field Equations for Systems of Bosons out of Equilibrium,Mohamed Benarous
hep-th/9701137,1997,A Non-Supersymmetric Open String Theory and S-Duality,Oren Bergman and Matthias R. Gaberdiel
hep-th/9703194,1997,F Theory on K3xK3 and Instantons on 7-branes,Michael Bershadsky and Vladimir Sadov
hep-th/9703141,1997,ND Tadpoles as New String States and Quantum Mechanical Particle-Wave Duality from World-Sheet T-Duality,Ian I. Kogan and John F. Wheater
hep-th/9706071,1997,Greybody factors for rotating black holes in four dimensions,Mirjam Cvetic and Finn Larsen
hep-th/9704147,1997,Black holes in N=2 supergravity theories and harmonic functions,W. A. Sabra
hep-th/9711109,1997,M-Branes and Their Interactions in Static Matrix Model,"Amir H. Fatollahi, Kamran Kaviani and Shahrokh Parvizi"
hep-th/9710077,1997,Solution of a Relativistic Three-Body Problem,H. Pierre Noyes and E. D. Jones
hep-th/9703178,1997,Mechanism of Generation of Black Hole Entropy in Sakharov's Induced Gravity,V.P. Frolov and D.V. Fursaev
hep-th/9701191,1997,Self-Dual N=1 SUSY Gauge Theories,"Csaba Csaki (MIT), Martin Schmaltz (Boston U.), Witold Skiba (MIT) and John Terning (UC Berkeley)"
hep-th/9703168,1997,Expansion in the Width and Collective Dynamics of a Domain Wall,H. Arodz
hep-th/9709050,1997,Properties of Naked Black Holes,Gary T. Horowitz and Simon F. Ross
hep-th/9706008,1997,Notes on Spinning AdS_3 Black Hole Solution,"Hongsu Kim (Ewha Women's Univ., Korea)"
hep-th/9707058,1997,Supersymmetry and the Chiral Schwinger Model,Ricardo Amorim and Ashok Das
hep-th/9705096,1997,Renormalized $g-log (g)$ double expansion for the invariant $\phi^4$-trajectory in three dimensions,Christian Wieczerkowski
hep-th/9706167,1997,Quantum Mechanically Induced Wess-Zumino Term in the Principal Chiral Model,"Hitoshi Miyazaki, Izumi Tsutsui"
hep-th/9704031,1997,SU(infinity) q-Moyal-Nahm Equations and Quantum Deformations of the Self Dual Membrane,Carlos Castro
hep-th/9704178,1997,U-Duality Symmetries from the Membrane Worldvolume,Andre Lukas and Burt A. Ovrut
hep-th/9701015,1997,N=1 Dualities of SO and USp Gauge Theories and T-Duality of String Theory,Cumrun Vafa and Barton Zwiebach
hep-th/9704027,1997,On the Uniqueness of the effective Lagrangian for N= 2 SQCD,"M. Magro, L. O'Raifeartaigh, I. Sachs (Dublin Institute for Advanced Studies)"
hep-th/9706145,1997,The BPS Spectra and Superconformal Points in Massive N=2 Supersymmetric QCD,Adel Bilal and Frank Ferrari (ENS Paris)
hep-th/9709068,1997,Duality in osp(1|2) Conformal Field Theory and link invariants,"I. P. Ennes, P. Ramadevi, A. V. Ramallo and J. M. Sanchez de Santos"
hep-th/9712123,1997,Analytic structure of scalar composites in the symmetric phase of the gauged Nambu-Jona-Lasinio model,"V.P. Gusynin, M. Reenders"
hep-th/9707196,1997,Remarks on the Geometry of Wick Rotation in QFT and its Localization on Manifolds,"Chien-Hao Liu, U.Miami-Physics"
hep-th/9702062,1997,Pedagogical Introduction to Hamiltonian BRST formalism,Naohisa Ogawa
hep-th/9706212,1997,Renormalization of Hamiltonians in the Light-Front Fock Space,"Stanislaw D. Glazek (Institute of Theoretical Physics, Warsaw University)"
hep-th/9702029,1997,Vortex solutions of a Maxwell-Chern-Simons field coupled to four-fermion theory,"Seungjoon Hyun, Junsoo Shin, Jae Hyung Yee and Hyuk-jae Lee"
hep-th/9701153,1997,Thermal Action and Specific Heat of the Five-Dimensional Non-Extremal Black Hole,Shijong Ryang
hep-th/9706127,1997,Comments on the M Theory Approach to N=1 SQCD and Brane Dynamics,"A. Brandhuber, N. Itzhaki, V. Kaplunovsky, J. Sonnenschein and S. Yankielowicz"
hep-th/9705154,1997,Unified Description and Canonical Reduction to Dirac's Observables of the Four Interactions,Luca Lusanna (INFN Florence)
hep-th/9710205,1997,Abelian Projections and Monopoles,M. N. Chernodub and M. I. Polikarpov
hep-th/9711058,1997,"Gaudin Model, KZ Equation, and Isomonodromic Problem on Torus",Kanehisa Takasaki (Kyoto University)
hep-th/9701123,1997,More Evidence for the WDVV Equations in N=2 SUSY Yang-Mills Theories,"A. Marshakov, A. Mironov and A. Morozov"
hep-th/9702106,1997,Mathai-Quillen Formulation of Twisted N=4 Supersymmetric Gauge Theories in Four Dimensions,J. M. F. Labastida and Carlos Lozano
hep-th/9704025,1997,Recent Developments in the Theory of Tunneling,"Hideaki Aoyama, Toshiyuki Harano, Hisashi Kikuchi, Ikuo Okouchi, Masatoshi Sato and Shinya Wada"
hep-th/9712075,1997,U-Duality and BPS Spectrum of Super Yang-Mills Theory and M-Theory,C.M. Hull
hep-th/9707194,1997,"Poisson-Lie T-duality and (1,1) supersymmetry",C. Klimcik
hep-th/9702138,1997,Two kinds of duality,"Robert Carroll (Mathematics Dept., University of Illinois, Urbana, IL)"
hep-th/9703100,1997,Dynamics of N=2 Supersymmetric Gauge Theories in Three Dimensions,"Jan de Boer, Kentaro Hori and Yaron Oz"
hep-th/9709170,1997,Global Anomalies in Canonical Gravity,Sumati Surya and Sachindeo Vaidya
hep-th/9709162,1997,Monodromy Properties of the Energy Momentum Tensor on General Algebraic Curves,Franco Ferrari and Jan T. Sobczyk
hep-th/9710047,1997,Clifford geometric parameterization of inequivalent vacua,Bertfried Fauser
hep-th/9711181,1997,Non-Abelian Solitons in N=4 Gauged Supergravity and Leading Order String Theory,Ali H. Chamseddine and Mikhail S. Volkov
hep-th/9704109,1997,Extra Dimensions in Superstring Theory,"Nathan Berkovits (IFT/UNESP, Sao Paulo)"
hep-th/9706106,1997,On the Connection between Pauli-Villars and Higher Derivative Regularizations,M. N. Stoilov
hep-th/9707116,1997,Trefoil knot and ad-hoc classification of elementary fields in the Standard Model,Z. Was
hep-th/9702060,1997,Bv Gauge Theories,Jorge Alfaro(Universidad Catolica de Chile)
hep-th/9709124,1997,String Solitons and Black Hole Thermodynamics,Ramzi R. Khuri
hep-th/9710191,1997,Covariant quantization of membrane dynamics,Lee Smolin
hep-th/9701187,1997,Black Hole Greybody Factors and Absorption of Scalars by Effective Strings,Igor R. Klebanov and Samir D. Mathur
hep-th/9707164,1997,Heterotic M(atrix) theory at generic points in Narain moduli space,"Suresh Govindarajan (University of Bonn, Germany)"
hep-th/9702091,1997,Wilson Loop on a Light-Cone Cylinder,Stephen Pinsky (Ohio State University)
hep-th/9708001,1997,Covariant Quantization of The Super-D-string,Machiko Hatsuda and Kiyoshi Kamimura
hep-th/9707047,1997,"Singularities in d=4, N=1 Heterotic String Vacua",Matthias Klein and Jan Louis
hep-th/9709033,1997,Wrapped Branes and Supersymmetry,"Mirjam Cvetic, Christopher M. Hull"
hep-th/9701009,1997,N=2 Curves and a Coulomb Phase in N=1 SUSY Gauge Theories with Adjoint and Fundamental Matters,"T. Kitao, S. Terashima and S.-K. Yang"
hep-th/9711121,1997,Aharonov-Bohm effect in curved space and cosmic strings,"Yurii Sitenko, Alexei Mishchenko (Bogolyubov Institute for Theoretical Physics)"
hep-th/9702050,1997,Microstates of Non-supersymmetric Black Holes,Atish Dabholkar
hep-th/9705051,1997,The Higher Cohomologies of E_8 Lie Algebra,H.R.Karadayi and M.Gungormez
hep-th/9707151,1997,New Fundamental Symmetries of Integrable Systems and Partial Bethe Ansatz,A. Ushveridze
hep-th/9705210,1997,Extremal Transitions in Heterotic String Theory,E. Sharpe
hep-th/9701118,1997,Quantum Affine Symmetry and Scattering Amplitudes of the Imaginary Coupled d_4(3) Affine Toda Field Theory,Gabor Takacs
hep-th/9712087,1997,Reducing the Chern-Simons term by a symmetry,R. Jackiw and S.-Y. Pi
hep-th/9707152,1997,A 3+1 Dimensional LF-Model with Spontaneous $\chi SB$,M. Burkardt and H. El-Khozondar
hep-th/9710020,1997,"N=(4,4) 2D Supersymmetric Gauge Theory and Brane Configuration",M. Alishahiha
hep-th/9707101,1997,Lump dynamics in the CP^1 model on the torus,J.M. Speight (University of Texas at Austin)
hep-th/9702135,1997,Generalized Stochastic Gauge Fixing,Helmuth Huffel and Gerald Kelnhofer
hep-th/9702202,1997,Hyper-Kahler manifolds and multiply-intersecting branes,"J.P. Gauntlett, G.W. Gibbons, G. Papadopoulos and P.K. Townsend"
hep-th/9710199,1997,Destructive Interference of Dualities,Clovis Wotzasek
hep-th/9704180,1997,Thermofield Dynamics of the Heterotic String - Physical Aspects of the Thermal Duality -,H. Fujisaki (Rikkyo Univ.)
hep-th/9711175,1997,Supersymmetry and Bosonization in Three Dimensions,Jose D. Edelstein and Carlos Nunez
hep-th/9705016,1997,On S-Duality of Toroidally Compactified Type IIB String Effective Action,Shibaji Roy
hep-th/9703043,1997,Mass relations in noncommutative geometry revisited,M.Paschke (Univ. Mainz)
hep-th/9705087,1997,"Planar Yang-Mills theory: Hamiltonian, regulators and mass gap","Dimitra Karabali, Chanju Kim, V.P. Nair"
hep-th/9711017,1997,"On 6d ""Gauge"" Theories with Irrational Theta Angle",Barak Kol
hep-th/9709064,1997,Universality of Quantum Entropy for Extreme Black Holes,Robert B. Mann and Sergey N. Solodukhin
hep-th/9707072,1997,Dirac's Observables for the SU(3)XSU(2)XU(1) Standard Model,L. Lusanna and P. Valtancoli
hep-th/9712190,1997,Hairs on the Unicorn: Fine Structure of Monopoles and Other Solitons,"Alfred S. Goldhaber (ITP, SUNY Stony Brook)"
hep-th/9708023,1997,Advances in Old-Fashioned Heterotic String Model Building,Gerald B. Cleaver
hep-th/9712016,1997,Generation of a QCD-induced Chern-Simons like term in QED,"D.Ebert, V.Ch.Zhukovsky"
hep-th/9710182,1997,Non-abelian Dyons,B.J. Schroers
hep-th/9707168,1997,On the Zero-Point Energy of a Conducting Spherical Shell,"Giampiero Esposito, Alexander Yu. Kamenshchik and Klaus Kirsten"
hep-th/9701083,1997,"Magnetic Monopoles, Gauge Invariant Dynamical Variables and Georgi Glashow Model",Adriano Di Giacomo and Manu Mathur
hep-th/9705078,1997,Black Holes and D-branes,Juan M. Maldacena
hep-th/9710060,1997,Duality Symmetry and Soldering in Different Dimensions,R. Banerjee and C. Wotzasek
hep-th/9704019,1997,Constrained Dynamical Systems: Separation of Constraints into First and Second Classes,"N.P.Chitaia, S.A.Gogilidze and Yu.S.Surovtsev"
hep-th/9703167,1997,Global Anomalies and Geometric Engineering of Critical Theories in Six Dimensions,Michael Bershadsky and Cumrun Vafa
hep-th/9703038,1997,Towards a Non-perturbative Formulation of IIB Superstrings by Matrix Models,"A. Fayyazuddin, Y. Makeenko, P. Olesen, D.J. Smith, K. Zarembo"
hep-th/9709047,1997,Deformation of Super Virasoro Algebra in Noncommutative Quantum Superspace,Haru-Tada Sato
hep-th/9702017,1997,"N=1, D=3 Superanyons, osp(2|2) and the Deformed Heisenberg Algebra","I. V. Gorbunov, S. M. Kuzenko and S. L. Lyakhovich"
hep-th/9704162,1997,Finiteness Conditions for Light-Front Hamiltonians,Matthias Burkardt
hep-th/9701076,1997,Quantum gravity with linear action. Intrinsic rigidity of spacetime,G.K.Savvidy
hep-th/9708053,1997,Comment on Pasti-Sorokin-Tonin approach to three-brane,Alexei Nurmagambetov
hep-th/9710194,1997,'t Hooft Loop Average in the Vicinity of the Londons' Limit and the Quartic Cumulant of the Field Strength Tensors,"D.V.Antonov (Humboldt University, Berlin and ITEP, Moscow)"
hep-th/9707193,1997,"N=2, D=6 supergravity with E_7 gauge matter",Konstantin Zyablyuk
hep-th/9705090,1997,Non-extreme Calabi-Yau Black Holes,David Kastor and K. Z. Win
hep-th/9705009,1997,Nonperturbative Stochastic Quantization of the Helix Model,Helmuth Huffel and Gerald Kelnhofer
hep-th/9712022,1997,Solitons in the Horava-Witten supergravity,E. Dudas and J. Mourad
hep-th/9707029,1997,Principles of Discrete Time Mechanics: III. Quantum Field Theory,"Keith Norton and George Jaroszkiewicz (Mathematics Department, Nottingham University, UK)"
hep-th/9702073,1997,Defining Relations for Lie Superalgebras with Cartan matrix,"Pavel Grozman, Dimitry Leites"
hep-th/9708010,1997,"A New Approach to Functional Analysis on Graphs, the Connes-Spectral Triple and its Distance Function",M. Requardt
hep-th/9710141,1997,Lagrangian and Covariant Field Equations for Supersymmetric Yang-Mills Theory in 12D,Hitoshi Nishino
hep-th/9707032,1997,Generalized Jacobi structures,J. C. Perez Bueno
hep-th/9709169,1997,Vacuum-Bounded States and the Entropy of Black Hole Evaporation,Ken D. Olum
hep-th/9702128,1997,Critical Couplings in the Nambu--Jona-Lasinio Model with the Constant Electromagnetic Fields,"M. Ishi-i, T. Kashiwa, and N. Tanimura (Kyushu Univ. Fukuoka, Japan)"
hep-th/9702076,1997,World Volume Approach to Absorption by Non-dilatonic Branes,Igor R. Klebanov
hep-th/9705162,1997,"Gravitational Duality, Branes and Charges",C.M. Hull
hep-th/9712031,1997,Sress-Tensor for parafermions from the generalized Frenkel-Kac construction of affine algebra,Vincenzo Marotta
hep-th/9702154,1997,Branes and Mirror Symmetry in N=2 Supersymmetric Gauge Theories in Three Dimensions,"Jan de Boer, Kentaro Hori, Yaron Oz and Zheng Yin"
hep-th/9707036,1997,'t Hooft Anomaly Matching Conditions for Generalized Symmetries in 2D,"Fiorenzo Bastianelli, Olindo Corradini"
hep-th/9712118,1997,Greybody Factors for Black Holes in Four Dimensions: Particles with Spin,Mirjam Cvetic and Finn Larsen
hep-th/9704163,1997,Spontaneously Broken N=2 Supergravity Without Light Mirror Fermions,"L. Girardello, M. Porrati, A. Zaffaroni"
hep-th/9709001,1997,"Seiberg-Witten Theory, Integrable Systems and D-branes",A.Marshakov
hep-th/9712222,1997,Non-Linear Integral Equations for complex Affine Toda associated to simply laced Lie algebras,P. Zinn-Justin
hep-th/9705127,1997,Cohomological Yang-Mills Theory in Eight Dimensions,"L. Baulieu, H. Kanno and I. M. Singer"
hep-th/9704158,1997,Heterotic M(atrix) Strings and Their Interactions,Soo-Jong Rey
hep-th/9702043,1997,Graceful Exit and Energy Conditions in String Cosmology,"Ram Brustein, Richard Madden"
hep-th/9705093,1997,Aspects of Superembeddings,"P.S. Howe, E. Sezgin and P.C. West"
hep-th/9712135,1997,D0-Branes as Instantons in D=4 Super Yang-Mills Theories,J.L.F. Barbon and A. Pasquinucci
hep-th/9704077,1997,General D-branes solutions from string theory,Pedro J. Silva (Newcastle University U.K.)
hep-th/9702120,1997,Lie superalgebras of string theories,"Pavel Grozman, Dimitry Leites, Irina Shchepochkina"
hep-th/9702132,1997,SO(3) \times U(1) isometric instantons with non abelian hair in four dimensional string theory,Adrian R. Lugo
hep-th/9709109,1997,Abelian-Projected Effective Gauge Theory of QCD with Asymptotic Freedom and Quark Confinement,Kei-ichi Kondo (Chiba Univ.)
hep-th/9705136,1997,A variational approach to the QCD wavefunctional: Calculation of the QCD beta-function,William E. Brown and Ian I. Kogan
hep-th/9709143,1997,Conformally Invariant Path Integral Formulation of the Wess-Zumino-Witten $\to$ Liouville Reduction,L. O'Raifeartaigh and V. V. Sreedhar
hep-th/9710215,1997,Open and Closed Supermembranes with Winding,"Bernard de Wit, Kasper Peeters, Jan Plefka"
hep-th/9703063,1997,D=9 supergravity and p-brane solitons,N. Khviengia and Z. Khviengia
hep-th/9707074,1997,From Fusion Hierarchy to Excited State TBA,"G. Juettner, A. Kluemper (Cologne) and J. Suzuki(Tokyo)"
hep-th/9707049,1997,Matter from Toric Geometry,"Philip Candelas, Eugene Perevalov and Govindan Rajesh"
hep-th/9705008,1997,Exact Renormalization Group and Running Newtonian Coupling in Higher Derivative Gravity,"A.A. Bytsenko, L.N. Granda and S.D. Odintsov"
hep-th/9712021,1997,Infinite Lorentz boost along the M-theory circle and non-asymptotically flat solutions in supergravities,"Seungjoon Hyun, Youngjai Kiem, Hyeonjoon Shin"
hep-th/9707048,1997,Supersymmetric Quantum Mechanics for String-Bits,Charles B. Thorn
hep-th/9704063,1997,Confinement in partially broken abelian Chern-Simons theories,Mark de Wild Propitius
hep-th/9701167,1997,Euclidean field theory and singular classical field configurations,A.V.Shurgaia
hep-th/9712196,1997,"Black-holes, Duality and Supersymmetry","E. Alvarez, P. Meessen, T. Ortin"
hep-th/9709217,1997,On the Construction of Zero Energy States in Supersymmetric Matrix Models II,Jens Hoppe
hep-th/9708122,1997,The Field Theory of Non-Supersymmetric Brane Configurations,"Nick Evans (Boston Univ.), Myck Schwetz (Yale and Rutgers)"
hep-th/9710175,1997,Light-Front QCD: A Constituent Picture of Hadrons,Robert J. Perry (The Ohio State University)
hep-th/9705030,1997,Consistency Conditions for Branes at Orbifold Singularities,Julie D. Blum and Kenneth Intriligator
hep-th/9701099,1997,Geometric Entropy and Curvature Coupling in Conical Spaces: zeta Function Approach,Valter Moretti (Phys. Dept. Trento University)
hep-th/9709126,1997,Geometrising the closed string field theory action,Sabbir Rahman
hep-th/9706057,1997,An orientifold of the solitonic fivebrane,"Stefan Forste, Debashis Ghoshal and Sudhakar Panda"
hep-th/9705104,1997,Point-like Instantons on K3 Orbifolds,Paul S. Aspinwall and David R. Morrison
hep-th/9709150,1997,Parity-Preserving Pauli-Villars Regularization in (2+1)-Dimensional Gauge Models,"L. R. Baboukhadia, A. A. Khelashvili, N. A. Kiknadze"
hep-th/9711164,1997,Solution of quantum Dirac constraints via path integral,A.O.Barvinsky
hep-th/9711096,1997,Universal Massive Spectral Correlators and QCD_3,"Poul H. Damgaard, Shinsuke M. Nishigaki"
hep-th/9709074,1997,Finite Temperature Nonlocal Effective Action for Scalar Fields,Yuri Gusev and Andrei Zelnikov
hep-th/9712212,1997,The Abelian Topological Mass Mechanism From Dimensional Reduction,Adel Khoudeir
hep-th/9708038,1997,Thirring Model in Lower Dimensions: Nonperturbative Approaches,Yoonbai Kim
hep-th/9704073,1997,Small Q balls,Alexander Kusenko (CERN)
hep-th/9701169,1997,"Supersymmetric quantum mechanics, supermembranes and Dirichlet particles",Bernard de Wit
hep-th/9711087,1997,On the Picture Dependence of Ramond-Ramond Cohomology,Nathan Berkovits and Barton Zwiebach
hep-th/9705044,1997,New Phases of String Theory and 6d RG Fixed Points via Branes at Orbifold Singularities,Julie D. Blum and Kenneth Intriligator
hep-th/9703181,1997,Embedding of Relativistic Particles and Spinor Natural-Frame,Naohisa Ogawa
hep-th/9705194,1997,Ghost Number Cohomologies and M-theory Quantum States,Dimitri Polyakov
hep-th/9712041,1997,Summing up the perturbation series in the Schwinger Model,Tomasz Radozycki
hep-th/9703031,1997,Probing Five-Dimensional Black Holes with D-Branes,"Michael Douglas, Joseph Polchinski and Andrew Strominger"
hep-th/9702046,1997,Geometry Associated with Self-dual Yang-Mills and the Chiral Model Approaches to Self-dual Gravity,"Hugo Garcia-Compean, Jerzy F. Plebanski (Cinvestav-Fis) and Maciej Przanowski (University of Lodz)"
hep-th/9703116,1997,Mass Generation in the Supersymmetric Nambu--Jona--Lasinio Model in an External Magnetic Field,Igor A. Shovkovy
hep-th/9709197,1997,"The TBA, the Gross-Neveu Model, and Polyacetylene",Alan Chodos (Yale Univ.) and Hisakzau Minakata (Tokyo Metropolitan Univ.)
hep-th/9701142,1997,Dilute D-Instantons at Finite Temperature,J.L.F. Barbon and M.A. Vazquez-Mozo
hep-th/9707039,1997,A Single Classical Quark,V. Dzhunushaliev
hep-th/9708157,1997,Multidimensional Classical and Quantum Cosmology with Intersecting p-branes,V. D. Ivashchuk and V. N. Melnikov
hep-th/9712074,1997,Restrictions Imposed by Superconformal Invariance on Quantum Field Theories,Shiraz Minwalla
hep-th/9703136,1997,"Les Houches Lectures on Fields, Strings and Duality",R. Dijkgraaf
hep-th/9703032,1997,Single particles and composite systems in a mathematically rigorous formulation of relativistic quantum field theory,Michael Danos
hep-th/9708057,1997,Polyakov conjecture on the supertorus,M. Kachkachi and M. Nazah
hep-th/9712105,1997,Longitudinal 5-branes as 4-spheres in Matrix theory,"Judith Castelino, Sangmin Lee and Washington Taylor"
hep-th/9705042,1997,Irreversible Quantum Mechanics in the Neutral K-System,Arno Bohm
hep-th/9711132,1997,Mass Perturbations in Twisted N=4 Supersymmetric Gauge Theories,J. M. F. Labastida and Carlos Lozano
hep-th/9705117,1997,Notes on Theories with 16 Supercharges,Nathan Seiberg
hep-th/9710241,1997,"Relative entropy in 2d Quantum Field Theory, finite-size corrections and irreversibility of the Renormalization Group",J. Gaite
hep-th/9709034,1997,Expectation values of local fields in Bullough-Dodd model and integrable perturbed conformal field theories,"V. Fateev, S. Lukyanov, A. Zamolodchikov, Al. Zamolodchikov"
hep-th/9701106,1997,Entropy of Schwarzschild black hole and string-black hole correspondence,Sergey N. Solodukhin
hep-th/9709175,1997,On the Symmetry of Real-Space Renormalisation,D.C. Brody and A. Ritz
hep-th/9711146,1997,"Form Factors, Thermal States and Modular Structures",M.R. Niedermaier
hep-th/9706019,1997,$q\bar q$ interaction in light-cone gauge formulations of Yang-Mills theory in 1+1 dimensions,"A. Bassetto, D. Colferai and G. Nardelli"
hep-th/9705121,1997,Unitary Matrix Models and Phase Transition,Masato Hisakado
hep-th/9703088,1997,Kabat's Surface Terms in the Zeta-Function approach,Devis Iellici and Valter Moretti (Trento University)
hep-th/9708024,1997,Newman-Penrose dyads and the null string motion equations in a background of antisymmetric fields,Kostyantin Ilienko and Aleksandr A. Zheltukhin
hep-th/9706095,1997,S-Duality and Global Symmetries in N=2 Supersymmetric Field Theory,Philip C. Argyres
hep-th/9709044,1997,"SO(9,1) invariant matrix formulation of supermembrane",Kazuo Fujikawa and Kazumi Okuyama
hep-th/9701130,1997,On the Ground State of Quantum Gravity,"S. Cacciatori, G. Preparata, S. Rovelli, I. Spagnolatti, She-Sheng Xue"
hep-th/9703179,1997,Comments on Dirichlet Branes at Angles,Noureddine Hambli (IHES)
hep-th/9711110,1997,Dirac Operator Spectra from Finite-Volume Partition Functions,P.H. Damgaard
hep-th/9712014,1997,Axial and gauge anomalies in the field antifield quantization of the generalized Schwinger model,"R. Amorim, N.R.F.Braga and R. Thibes"
hep-th/9711003,1997,"Boosts, Schwarzschild Black Holes and Absorption cross-sections in M theory","Sumit R. Das, Samir D. Mathur, S. Kalyana Rama and P. Ramadevi"
hep-th/9701022,1997,The Maxwell-Bloch Theory in Quantum Optics and the Kondo Model,"A. Leclair, F. Lesage, S. Lukyanov and H. Saleur"
hep-th/9708135,1997,Minimal Models with Integrable Local Defects,A. LeClair and A. W. W. Ludwig
hep-th/9708059,1997,Bethe Ansatz in Quantum Mechanics. 2. Construction of Multi-Parameter Spectral Equations,"Dieter Mayer, Alexander Ushveridze, Zbigniew Walczak"
hep-th/9705238,1997,Calabi-Yau manifolds constructed by Borcea-Voisin method,Mitsuko Abe and Masamichi Sato
hep-th/9712185,1997,Linearized supergravity from Matrix theory,"D. Kabat, W. Taylor"
hep-th/9710187,1997,Scaling Laws in Turbulence,Krzysztof Gawedzki
hep-th/9703036,1997,"M-Theory, Torons and Confinement","Cesar Gomez and Rafael Hernandez (Instituto de Matematicas y Fisica Fundamental, CSIC)"
hep-th/9702110,1997,"String-Unification, Universal One-Loop Corrections and Strongly Coupled Heterotic String Theory",H.P. Nilles and S. Stieberger
hep-th/9710192,1997,Non-Orientable M(atrix) Theory,N. Kim and Soo-Jong Rey
hep-th/9708025,1997,"Orbits of Exceptional Groups, Duality and BPS States in String Theory",Sergio Ferrara and Murat Gunaydin
hep-th/9710040,1997,Operator Formalism for Bosonic Beta-Gamma Fields on General Algebraic Curves,Franco Ferrari and Jan T. Sobczyk
hep-th/9705056,1997,Covariant Quantization of D-branes,Renata Kallosh
