author1,author2,first_year,weight
A. A. Tseytlin,A. Giveon,1993,1
A. A. Tseytlin,A. S. Schwarz,1992,1
A. A. Tseytlin,A. Yu. Alekseev,1995,1
A. A. Tseytlin,A. Yu. Petrov,2001,1
A. A. Tseytlin,C. B. Thorn,2000,1
A. A. Tseytlin,C. G. Callan,1996,1
A. A. Tseytlin,C. Klimcik,1993,3
A. A. Tseytlin,C. P. Herzog,2001,2
A. A. Tseytlin,C. Schmidhuber,1994,1
A. A. Tseytlin,E. Rabinovici,1993,1
A. A. Tseytlin,F. Bastianelli,1999,2
A. A. Tseytlin,G. Arutyunov,2000,1
A. A. Tseytlin,G. Papadopoulos,1999,3
A. A. Tseytlin,G. T. Horowitz,1994,2
A. A. Tseytlin,Gary T. Horowitz,1994,1
A. A. Tseytlin,H. Liu,1997,1
A. A. Tseytlin,Hong Liu,1998,4
A. A. Tseytlin,I. Chepelev,1997,4
A. A. Tseytlin,I. L. Buchbinder,1999,2
A. A. Tseytlin,I. R. Klebanov,1996,10
A. A. Tseytlin,J. G. Russo,1994,10
A. A. Tseytlin,J. Russo,1992,4
A. A. Tseytlin,K. Sfetsos,1993,3
A. A. Tseytlin,K. Zarembo,1999,3
A. A. Tseytlin,L. A. Pando Zayas,2000,3
A. A. Tseytlin,L. Pando Zayas,2001,1
A. A. Tseytlin,M. Cvetic,1993,4
A. A. Tseytlin,M. Rocek,1998,1
A. A. Tseytlin,N. Itzhaki,1998,1
A. A. Tseytlin,R. Kallosh,1998,1
A. A. Tseytlin,R. R. Metsaev,1998,6
A. A. Tseytlin,S. Frolov,1999,6
A. A. Tseytlin,S. M. Kuzenko,1999,1
A. A. Tseytlin,S. S. Gubser,1996,3
A. A. Tseytlin,S. Theisen,2000,1
A. A. Tseytlin,S. Yankielowicz,1998,2
A. A. Tseytlin,V. A. Kazakov,2001,1
A. A. Vladimirov,A. P. Isaev,1994,1
A. A. Zheltukhin,D. V. Uvarov,2002,2
A. A. Zheltukhin,I. A. Bandos,1994,1
A. A. Zheltukhin,S. A. Polshin,1999,1
A. A. Zheltukhin,S. N. Roshchupkin,1995,3
A. A. Zheltukhin,U. Lindstrom,2001,2
A. A. Zheltukhin,V. V. Tugai,1996,2
A. A. Zheltuklhin,D. V. Uvarov,1999,1
A. Abada,A. H. Bougourzi,1992,2
A. Abada,B. Si-Lakhal,1997,1
A. Abada,M. A. El Gradechi,1992,1
A. Abdesselam,V. Rivasseau,1994,2
A. Abdurrahman,F. Anton,1993,2
A. Abdurrahman,J. Bordes,1993,3
A. Accardi,A. Belli,1998,1
A. Accardi,M. Martellini,1998,1
A. Accardi,M. Zeni,1998,1
A. Achucarro,A. C. Davis,2001,2
A. Achucarro,J. A. Harvey,1993,1
A. Achucarro,J. Urrestilla,2001,3
A. Achucarro,K. Kuijken,1993,1
A. Achucarro,L. Huiszoon,1998,1
A. Achucarro,M. De Roo,1998,1
A. Achucarro,M. Pickles,2001,2
A. Achucarro,R. Gregory,1993,1
A. Adams,E. Silverstein,2001,1
A. Adams,J. Polchinski,2001,1
A. Agarwal,G. S. Krishnaswami,2002,1
A. Agarwal,L. Akant,2002,2
A. Agarwal,S. G. Rajeev,2002,2
A. Aghamohammadi,A. Alimohammadi,1996,1
A. Aghamohammadi,A. M. Ghezelbash. M. Khorrami,1998,1
A. Aghamohammadi,A. Shariati,1994,4
A. Aghamohammadi,M. Abolhassani,1994,1
A. Aghamohammadi,M. Alimohammadi,1996,2
A. Aghamohammadi,M. Khorrami,1994,9
A. Aghamohammadi,M. R. Rahimi Tabar,1996,2
A. Aghamohammdi,M. Alimohammadi,1997,1
A. Aghamohammdi,M. Khorrami,1997,1
A. Agodi,G. Andronico,1994,1
A. Agodi,M. Consoli,1994,1
A. Akhmetshin,I. Krichever,2002,1
A. Akhmetshin,Y. Volvovsky,2000,2
A. Akhmetshin,Yu. Volvovski,2002,1
A. Albrecht,C. P. Burgess,2001,1
A. Albrecht,C. Skordis,2001,1
A. Albrecht,F. Ravndal,2001,1
A. Alekseev,A. Mironov,2000,1
A. Alekseev,A. Morozov,2000,1
A. Alekseev,A. P. Polychronakos,2000,1
A. Alekseev,M. Smedback,2000,1
A. Alimohammadi,M. Khorrami,1996,1
A. Alonso Izquierdo,J. Mateos Guilarte,2000,8
A. Alonso Izquierdo,M. A. Gonzalez Leon,2000,8
A. Alonso Izquierdo,M. De La Torre Mayado,2002,1
A. Alonso Izquierdo,W. Garcia Fuertes,2002,3
A. Anderson,B. E. W. Nilsson,1994,1
A. Anderson,C. N. Pope,1994,1
A. Anderson,K. S. Stelle,1994,1
A. Andrav Si,J. C. Taylor,1996,1
A. Antonov,A. Zabrodin,1997,1
A. Antonov,K. Hasegawa,1997,1
A. Arhrib,E. H Saidi,1997,1
A. Arhrib,M. Rachidi,1997,1
A. Armoni,A. Brandhuber,1998,1
A. Armoni,A. C. Petkou,2002,2
A. Armoni,G. Veneziano,2003,1
A. Armoni,J. L. F. Barbon,2002,2
A. Armoni,J. Sonnenschein,1995,7
A. Armoni,M. Shifman,2003,3
A. Armoni,U. Trittmann,1998,1
A. Armoni,Y. Frishman,1997,5
A. Ashtekar,D. Marolf,1994,1
A. Ashtekar,J. Lewandowski,1994,1
A. Ashtekar,J. Mourao,1994,1
A. Ashtekar,T. Thiemann,1994,1
A. Astashkevich,A. Schwarz,1998,1
A. Astashkevich,N. Nekrasov,1998,1
A. Aste,G. Scharf,1996,1
A. Aurilia,A. Smailagic,1992,4
A. Aurilia,C. Castro,2001,1
A. Aurilia,E. Spallucci,1992,13
A. Aurilia,I. Vanzetta,1994,1
A. Aurilia,L. Marinatto,2000,1
A. Aurilia,S. Ansoldi,1995,7
A. Azhari,T. T. Truong,1995,1
A. Azizi,N. Riazi,2002,1
A. Azizi,S. M. Zebarjad,2002,1
A. B. Adib,C. A. S. Almeida,2001,1
A. B. Balantekin,J. F. Beacom,1997,1
A. B. Balantekin,N. Ozturk,2000,1
A. B. Balantekin,P. Cassak,2001,1
A. B. Bylev,E. V. Prokhvatilov,1997,1
A. B. Bylev,H. J. Pirner,1997,1
A. B. Bylev,V. A. Franke,1997,1
A. B. Hammou,E. Gava,2000,2
A. B. Hammou,J. F. Morales,2000,2
A. B. Hammou,K. S. Narain,2000,2
A. B. Hammou,M. Lagraa,2001,1
A. B. Hammou,M. M. Sheikh-Jabbari,2001,1
A. B. Kaganovich,E. I. Guendelman,1998,4
A. B. Kobakhidze,M. Chaichian,2000,2
A. B. Kobakhidze,M. Gogberashvili,2000,1
A. B. Kobakhidze,Z. Berezhiani,2001,1
A. B. Kobakhidze,Z.-H. Yu,2001,1
A. B. Kurdikov,A. P. Isaev,1992,3
A. B. Kurdikov,A. T. Filippov,1992,4
A. B. Lahanas,B. C. Georgalas,2001,1
A. B. Lahanas,G. A. Diamandis,2001,1
A. B. Lahanas,P. Kouroumalou,2001,1
A. B. Penna-Firme,M. R. Negrao,1999,1
A. B. Penna-Firme,M. S. Goes-Negrao,1999,1
A. B. Pestov,B. M. Barbashov,1999,1
A. B. Pestov,Bijan Saha,1998,1
A. B. Selivanov,V. D. Ivashchuk,2002,1
A. B. Selivanov,V. N. Melnikov,2002,1
A. B. Tanaev,A. N. Vall,1996,2
A. B. Tanaev,A. V. Sinitskaya,1997,1
A. B. Tanaev,S. E. Korenblit,1996,2
A. B. Tanaev,V. M. Leviant,1996,2
A. B. Waites,R. Delbourgo,1994,1
A. B. Zamolodchikov,Al. B. Zamolodchikov,1995,1
A. B. Zamolodchikov,S. L. Lukyanov,1996,2
A. B. Zamolodchikov,V. V. Bazhanov,1996,2
A. Babichenko,S. Elitzur,1992,1
A. Balaz,M. Buric,2001,1
A. Balaz,V. Radovanovic,2001,1
A. Ballesteros,Enrico Celeghini,1994,1
A. Ballesteros,F. J. Herranz,1993,7
A. Ballesteros,M. A. Del Olmo,1993,7
A. Ballesteros,M. Santander,1993,7
A. Ballesteros,N. A. Gromov,1994,1
A. Barducci,G. Pettini,1994,1
A. Barducci,M. Modugno,1994,1
A. Barducci,R. Casalbuoni,1994,1
A. Barducci,R. Gatto,1994,1
A. Barducci,R. Giachetti,2003,1
A. Barroso,B. I. Ermolaev,2001,1
A. Bartoli,J. Julve,1994,1
A. Barvinsky,G. Kunstatter,1996,1
A. Bashir,A. Kizilersu,2000,1
A. Bashir,M. L. Roberts,2001,1
A. Bashir,M. R. Pennington,2000,1
A. Bashir,R. Delbourgo,2001,1
A. Bassetto,A. Shuvaev,1997,1
A. Bassetto,A. Torrielli,2001,2
A. Bassetto,C. Acerbi,1993,1
A. Bassetto,D. Colferai,1997,1
A. Bassetto,E. Vianello,1997,1
A. Bassetto,F. De Biasio,1994,1
A. Bassetto,F. Vian,1999,8
A. Bassetto,G. Nardelli,1995,11
A. Bassetto,L. Griguolo,1993,13
A. Bassetto,P. Zanca,1993,1
A. Bassetto,R. Begliuomini,1998,2
A. Bassetto,S. Nicoli,2001,1
A. Basu,S. D. Joglekar,2001,1
A. Batrachenko,J. X. Lu,2002,1
A. Batrachenko,M. J. Duff,2002,1
A. Belavin,A. Fring,1996,1
A. Belavin,M. Jimbo,2002,1
A. Belavin,Yu. Stroganov,1999,1
A. Belhaj,E. H Saidi,2000,1
A. Belhaj,E. H. Saidi,2000,5
A. Belhaj,E. L. Sahraoui,2000,1
A. Belhaj,J. J. Manjarin,2002,1
A. Belhaj,J. Rasmussen,2003,1
A. Belhaj,L. B. Drissi,2003,1
A. Belhaj,M. Hssaini,2000,1
A. Belhaj,P. Resco,2002,1
A. Belli,M. Martellini,1998,1
A. Belli,M. Zeni,1998,1
A. Bellini,M. Ademollo,1992,1
A. Bellini,M. Ciafaloni,1992,4
A. Bellini,P. Valtancoli,1995,3
A. Berard,H. Mohrbach,2000,2
A. Berard,J. Lages,2003,1
A. Berard,P. Gosselin,2000,1
A. Berkovich,A. Schilling,1997,1
A. Berkovich,B. M. Mccoy,1997,3
A. Berkovich,C. Gomez,1992,2
A. Berkovich,G. Sierra,1992,2
A. Berkovich,P. A. Pearce,1997,1
A. Berkovich,S. O. Warnaar,1997,1
A. Bilal,A. Sevrin,2001,1
A. Bilal,E. A. Bergshoeff,2001,1
A. Bilal,I. Bakas,2000,2
A. Bilal,I. Kogan,1993,1
A. Bilal,J.-P. Derendinger,2000,3
A. Bilal,K. Sfetsos,2000,3
A. Bilal,M. De Roo,2001,1
A. Bilal,S. Metzger,2003,1
A. Blasi,A. Tanzini,2000,1
A. Blasi,L. C. Q. Vilar,2000,1
A. Blasi,N. Maggiore,2000,1
A. Blasi,O. S. Ventura,2000,1
A. Blasi,S. P. Sorella,2000,1
A. Blasi,V. E. R. Lemes,2000,1
A. Blaut,J. Kowalski-Glikman,2003,1
A. Blaut,M. Daszkiewicz,2003,1
A. Bogojevic,B. Sazdovic,1998,1
A. Bogojevic,O. Miskovic,1998,1
A. Bohm,H. Kaldass,1999,7
A. Bohm,P. Kielanowski,1999,3
A. Bohm,S. Wickramasekara,1999,6
A. Bonanno,C. Rubano,2003,1
A. Bonanno,D. Zappal`A,2000,1
A. Bonanno,D. Zappala,1997,2
A. Bonanno,G. Esposito,2003,1
A. Bonanno,H. Mohrbach,1999,1
A. Bonanno,M. Reuter,2000,2
A. Bonanno,V. Branchina,1999,1
A. Borderies,E. Werner,1994,1
A. Borderies,P. Grange,1994,1
A. Boresch,A. Sevrin,1994,1
A. Boresch,K. Landsteiner,1994,1
A. Boresch,M. Schweda,1993,1
A. Boresch,S. P. Sorella,1993,1
A. Boresch,W. Lerche,1994,1
A. Borowiec,J. Lukierski,2003,1
A. Borowiec,M. Ferraris,1998,2
A. Borowiec,M. Francaviglia,1998,2
A. Borowiec,V. K. Kharchenko,1993,1
A. Borowiec,V. N. Tolstoy,2003,1
A. Borowiec,Zbigniew Oziewicz,1993,1
A. Borzi,A. Koubek,1992,1
A. Bossard,N. Mohammedi,2000,3
A. Boulahoual,M. B. Sedra,2001,3
A. Boveia,Bjorg A. Larson,2002,1
A. Boveia,Dagny M. Kimberly,2002,1
A. Boveia,J. A. Phillips,2002,1
A. Boveia,S. James Gates,2002,1
A. Boveia,V. G. J. Rodgers,2002,1
A. Boveia,W. D. Linch,2002,1
A. Boyarsky,A. Marshakov,2001,1
A. Boyarsky,A. Zabrodin,2001,1
A. Boyarsky,B. Kulik,2001,2
A. Boyarsky,O. Ruchayskiy,2001,1
A. Boyarsky,P. Wiegmann,2001,1
A. Brandhuber,I. Bakas,1999,2
A. Brandhuber,J. Sonnenschein,1997,7
A. Brandhuber,K. Landsteiner,1995,2
A. Brandhuber,K. Sfetsos,1999,7
A. Brandhuber,M. Langer,1992,2
A. Brandhuber,M. Schweda,1992,4
A. Brandhuber,M. W. De Oliveira,1994,1
A. Brandhuber,N. Itzhaki,1997,5
A. Brandhuber,O. Moritsch,1994,1
A. Brandhuber,O. Piguet,1992,3
A. Brandhuber,S. Emery,1993,2
A. Brandhuber,S. P. Sorella,1992,2
A. Brandhuber,S. Stieberger,1996,2
A. Brandhuber,S. Theisen,1997,3
A. Brandhuber,S. Yankielowicz,1997,6
A. Brandhuber,S. Yankielowizc,1997,1
A. Brandhuber,V. Kaplunovsky,1997,1
A. Brignole,F. Zwirner,1994,1
A. Brizola,A. P. Baeta Scarpelli,2002,1
A. Brizola,B. Hiller,2002,1
A. Brizola,M. C. Nemes,1998,3
A. Brizola,M. Sampaio,2002,1
A. Brizola,Marcos Sampaio,1998,2
A. Brizola,O. A. Battistel,1998,1
A. Brizola,S. Gobira,2002,1
A. Brizola,S. R. Gobira,2002,1
A. Buchel,C. P. Herzog,2001,1
A. Buchel,I. R. Klebanov,2001,1
A. Buchel,J. Walcher,2002,1
A. Buchel,L. Pando Zayas,2001,1
A. Buonanno,C. Ungarelli,1997,4
A. Buonanno,G. Veneziano,1997,3
A. Buonanno,K. A. Meissner,1997,1
A. Buonanno,K. Meissner,1997,1
A. Buonanno,M. Gasperini,1997,2
A. Buonanno,M. Maggiore,1997,1
A. Buonanno,T. Damour,1998,1
A. Burnel,A. Dresse,1994,1
A. Burnel,H. Caprasse,1994,1
A. C Tort,C. Farina,2000,1
A. C Tort,J. J. Passos Sobrinho,2000,1
A. C. Avram,D. Jancic,1995,2
A. C. Avram,E. Derrick,1995,1
A. C. Avram,H. Skarke,1996,2
A. C. Avram,M. Kreuzer,1996,2
A. C. Avram,M. Mandelberg,1995,3
A. C. Avram,P. Candelas,1995,1
A. C. Cadavid,A. Ceresole,1995,1
A. C. Cadavid,R. Dauria,1995,1
A. C. Cadavid,S. Ferrara,1995,1
A. C. Davis,C. S. Rhodes,2002,2
A. C. Davis,C. Van De Bruck,2001,3
A. C. Davis,J. Urrestilla,2001,2
A. C. Davis,M. Pickles,2001,2
A. C. Davis,P. Brax,2001,3
A. C. Davis,Ph. Brax,2000,3
A. C. Kalloniatis,A. S. Mueller,1998,1
A. C. Kalloniatis,G. V. Efimov,1998,1
A. C. Kalloniatis,H. C. Pauli,1995,1
A. C. Kalloniatis,H. W. L. Naus,1996,1
A. C. Kalloniatis,H.-C. Pauli,1998,1
A. C. Kalloniatis,J. Przeszowski,1996,1
A. C. Kalloniatis,S. N. Nedelko,1998,1
A. C. Kalloniatis,S. S. Pinsky,1995,2
A. C. Petkou,A. Santambrogio,2002,1
A. C. Petkou,B. Eden,2001,1
A. C. Petkou,D. Klemm,2001,2
A. C. Petkou,D. Zanon,2001,1
A. C. Petkou,E. Sokatchev,2001,2
A. C. Petkou,G. Arutyunov,2000,4
A. C. Petkou,G. Siopsis,2000,4
A. C. Petkou,H. R. Christiansen,1999,1
A. C. Petkou,J. L. F. Barbon,2002,2
A. C. Petkou,L. Hoffmann,2000,2
A. C. Petkou,M. B. Silva Neto,1998,2
A. C. Petkou,N. D. Vlachos,1998,2
A. C. Petkou,R. G. Leigh,2003,1
A. C. Petkou,R. Manvelyan,2000,2
A. C. Petkou,S. Frolov,2000,2
A. C. Petkou,S. Penati,2002,1
A. C. Petkou,W. Ruehl,2000,2
A. C. R. Mendes,C. Neves,2001,1
A. C. R. Mendes,D. C. Rodrigues,2001,1
A. C. R. Mendes,F. I. Takakura,2000,1
A. C. R. Mendes,J. Ananias Neto,2001,1
A. C. R. Mendes,W. Oliveira,2000,2
A. C. Rodrigues Mendes,C. Neves,2001,1
A. C. Rodrigues Mendes,F. I. Takakura,2001,1
A. C. Rodrigues Mendes,W. Oliveira,2001,1
A. C. Scott,H. Gilho J,1994,1
A. C. Scott,J. C. Eilbeck,1994,1
A. C. Tort,A. Tenorio,1998,1
A. C. Tort,C. Farina,1998,4
A. C. Tort,E. Elizalde,2002,4
A. C. Tort,F. C. Santos,1998,5
A. C. Tort,M. R. Negrao,1998,2
A. C. Tort,M. V. Cougo-Pinto,1998,3
A. C. V. V. De Siqueira,E. Abdalla,1993,1
A. C. V. V. De Siqueira,E. R. Bezerra De Mello,1997,1
A. C. V. V. De Siqueira,I. A. Pedrosa,1997,1
A. Caldararu,E. Sharpe,2003,1
A. Caldararu,S. Katz,2003,1
A. Campbell-Smith,D. V. Nanopoulos,1999,1
A. Campbell-Smith,J. Papavassiliou,1999,1
A. Campbell-Smith,John Ellis,1999,1
A. Campbell-Smith,N. E. Mavromatos,1999,5
A. Campos,K. Holland,1998,2
A. Campos,U.-J. Wiese,1998,2
A. Candiello,K. Lechner,1993,3
A. Candiello,M. Tonin,1994,1
A. Capolupo,G. Vitiello,2001,1
A. Capolupo,M. Blasone,2001,1
A. Cappelli,C. A. Trugenberger,1992,6
A. Cappelli,G. Dappollonio,2000,1
A. Cappelli,G. R. Zemba,1992,6
A. Cappelli,G. V. Dunne,1992,2
A. Cappelli,I. T. Todorov,1998,1
A. Cappelli,L. S. Georgiev,1998,1
A. Cappelli,N. Magnoli,2000,1
A. Cappelli,R. Guida,2000,1
A. Carlini,A. Treves,1992,1
A. Carlini,F. Fucito,1992,2
A. Carlini,M. Martellini,1992,2
A. Casher,F. Englert,1996,1
A. Casher,N. Itzhaki,1996,1
A. Casher,O. Pelc,1993,1
A. Casher,R. Parentani,1996,1
A. Casher,S. Massar,1996,1
A. Casher,V. Elkonin,1994,2
A. Casher,Y. Shamir,1994,3
A. Catal,T. Dereli,2000,1
A. Catal-Ozer,T. Dereli,2001,1
A. Celi,A. Pelissetto,2000,1
A. Celi,A. Vicini,2002,1
A. Celi,E. Vicari,2000,1
A. Celi,G. Berrino,2002,1
A. Celi,L. Martucci,2002,1
A. Celi,M. Caselle,2000,1
A. Celi,P. Calabrese,2000,1
A. Celi,S. L. Cacciatori,2002,1
A. Ceresole,A. Van Proeyen,1994,3
A. Ceresole,F. Cordaro,1998,1
A. Ceresole,G. Arcioni,1998,1
A. Ceresole,G. Dallagata,1999,5
A. Ceresole,J. Louis,1992,1
A. Ceresole,L. Andrianopoli,1996,2
A. Ceresole,L. Castellani,1998,1
A. Ceresole,L. Gualtieri,1998,1
A. Ceresole,M. Bertolini,1994,3
A. Ceresole,M. Billo,1995,1
A. Ceresole,M. Trigiante,1998,2
A. Ceresole,P. Fre,1995,5
A. Ceresole,P. Soriani,1995,1
A. Ceresole,R. Dauria,1992,16
A. Ceresole,S. Ferrara,1992,14
A. Ceresole,T. Magri,1996,1
A. Ceresole,T. Regge,1993,2
A. Ceresole,W. Lerche,1992,1
A. Ch. Ganchev,G. M. T. Watts,1999,1
A. Ch. Ganchev,P. Furlan,1992,4
A. Ch. Ganchev,R. Paunov,1992,1
A. Ch. Ganchev,V. B. Petkova,1992,7
A. Chakrabarti,B. Abdesselam,1994,2
A. Chakrabarti,Betti Hartmann,2002,1
A. Chakrabarti,D. Arnaudon,1994,1
A. Chakrabarti,D. H. Tchrakian,1996,8
A. Chakrabarti,J. Rizos,2002,1
A. Chakrabarti,Y. Brihaye,2000,2
A. Chakrabarti,Yves Brihaye,2002,1
