author,first_year,n_papers,affiliations_seen
A. G. Sibiryakov,1994,3,[]
A. G. Ushveridze,1994,6,[]
A. G. Williams,1998,2,['University of Adelaide']
A. G. Zorin,2001,1,[]
A. Gabor,2001,1,[]
A. Galajinsky,1997,4,['INFN-Frascati']
A. Galante,1999,1,[]
A. Galperin,1992,8,[]
A. Gamba,1992,4,[]
A. Ganchev,1994,1,[]
A. Gangopadhyaya,1994,5,[]
A. Garcia,2000,1,[]
A. Garrett Lisi,1994,1,[]
A. Gerasimov,1993,4,[]
A. Gerhold,2000,2,[]
A. Ghodsi,2002,1,[]
A. Ghosh,1993,14,['CERN']
A. Giaquinto,1993,1,[]
A. Giveon,1993,24,[]
A. Goldhaber,1996,1,[]
A. Gomberoff,1997,2,[]
A. Gomez Nicola,1998,4,"['UCM, Madrid']"
A. Gonzalez Ruiz,1992,1,[]
A. Gonzalez--Ruiz,1993,5,[]
A. Gonzalez-Arroyo,1996,10,[]
A. Gonzalez-Lopez,2000,4,[]
A. Gonzalez-Ruiz,1994,1,[]
A. Gorsky,1993,33,[]
A. Grassi,1996,2,[]
A. Gregori,1997,3,[]
A. Gruppuso,2000,2,[]
A. Guerra,1997,1,[]
A. Gusev,2001,2,[]
A. H. Bilge,1996,6,"['Istanbul Tech U', 'ITU']"
A. H. Bougourzi,1992,8,[]
A. H. Castro Neto,1993,1,[]
A. H. Chamseddine,1992,25,"['CAMS/AUB', 'Theoretische Physik, ETH, Zuerich', 'ETH Zuerich', 'ETH', 'ETH-Zuerich']"
A. H. Fariborz,1996,1,[]
A. H. Fatollahi,1996,4,[]
A. H. Hamici,2001,1,[]
A. H. Rezaeian,2000,1,[]
A. H. Yeranyan,2002,1,"['Yerevan State University, Armenia']"
A. H. Zimerman,1992,32,[]
A. Hamid Bougourzi,1994,2,[]
A. Hammou,1999,1,"['SISSA, Trieste, Italy']"
A. Hanany,1994,6,['MIT']
A. Harindranath,1994,9,['Saha Inst.']
A. Hashimoto,1996,1,[]
A. Hatzinikitas,1998,1,[]
A. Havare,2001,4,[]
A. Hegedus,2001,2,[]
A. Herat,2000,1,[]
A. Herrera,1996,3,[]
A. Hietamaki,1992,1,[]
A. Holfter,2002,1,[]
A. Honecker,1992,14,[]
A. Huffmann,1994,1,[]
A. Hulsebos,1994,1,[]
A. I Zelnikov,1998,1,[]
A. I. Alekseev,1995,1,[]
A. I. Balinsky,1993,1,[]
A. I. Bugrij,1995,7,"['Bogolyubov Inst. Theor. Phys., Kiev']"
A. I. Davydychev,1997,8,[]
A. I. Ivanov,1999,1,[]
A. I. Karanikas,1999,4,['University of Athens']
A. I. Milstein,1996,1,[]
A. I. Milstein.,1995,1,[]
A. I. Mudrov,1998,1,[]
A. I. Neelov,2002,2,"['S.-Petersburg State University', 'S.-Petersburg, Russia']"
A. I. Nesterov,2002,1,[]
A. I. Nikishov,1999,6,"['Lededev Physical Institute', 'Lebedev Physical Institute']"
A. I. Pashnev,2001,1,[]
A. I. Sokolov,1998,5,"['Saint Petersburg Electrotechnical University, Saint Petersburg, Russia', 'Saint Petersburg Electrotechnical University, St. Petersburg, Russia']"
A. I. Veselov,1997,3,[]
A. I. Volovich,1997,1,[]
A. I. Zelnikov,1995,4,[]
A. Ilakovac,1999,2,[]
A. Ilha,2001,3,[]
A. Imaanpur,1997,6,[]
A. Iorio,1996,6,['1']
A. Isar,1994,1,[]
A. Ishikawa,1994,2,[]
A. Iskandar,1994,1,[]
A. J. Bordner,1998,5,"['YITP, Kyoto']"
A. J. Da Silva,1992,30,"['USP-Brasil', '1']"
A. J. Gill,1994,1,[]
A. J. Laufer,1994,2,[]
A. J. M. Medved,1998,24,"['University of Capetown', 'University of Alberta', 'University of Manitoba', 'university of Alberta']"
A. J. Macfarlane,1993,11,[]
A. J. Mountain,1997,6,[]
A. J. Niemi,1992,10,[]
A. J. Nurmagambetov,2001,1,[]
A. J. Parkes,1993,1,[]
A. J. Pocklington,2000,1,[]
A. J. Segui,2002,1,[]
A. J. Segui-Santonja,1994,1,[]
A. J. Van Der Sijs,1995,2,[]
A. J. Van Tonder,1992,2,['Brown']
A. Jadczyk,1993,7,[]
A. Jakobek,2002,1,[]
A. Jakovac,1997,1,[]
A. Jannussis,1998,1,['2']
A. Jaramillo,1994,5,"['Univ. of Valencia', '1', 'U. Valencia, Spain']"
A. Jellal,2001,3,[]
A. Jevicki,1992,10,"['BROWN', 'Brown University']"
A. Johansen,1993,11,['The St.Petersburg Nuclear Physics Institute']
A. K Kapoor,1995,1,[]
A. K. Aringazin,1998,3,"['1', 'Karaganda State University, Kazakstan']"
A. K. Biswas,1998,2,[]
A. K. Chaudhuri,1997,1,[]
A. K. Grant,1999,2,[]
A. K. J. Barnes,2002,1,['U. of Southampton']
A. K. Kapoor,1995,3,[]
A. K. Khizhnyakov,2001,1,[]
A. K. Konechny,2002,1,[]
A. K. Mishra,1996,5,[]
A. K. Tollsten,1992,2,[]
A. K. Tsikh,1996,1,[]
A. K. Waldron,1992,2,[]
A. Kapella-Economou,1996,1,[]
A. Kapella-Ekonomou,2000,1,[]
A. Kapustin,1994,5,"['IAS, Princeton']"
A. Kapustnikov,1998,3,[]
A. Karch,1999,2,[]
A. Kashani-Poor,2000,4,[]
A. Kato,1993,1,[]
A. Kaya,1998,7,[]
A. Kazarnovski-Krol,1994,1,[]
A. Kehagias,1995,23,['NTU of Athens']
A. Kempf,1993,12,"['D.A.M.T.P., Cambridge', 'DAMTP, Cambridge', '1', 'IFT, Univ. of Florida']"
A. Kent,1992,4,[]
A. Keurentjes,1998,1,[]
A. Khare,1992,1,[]
A. Khavaev,1998,1,[]
A. Khelashvili,1995,2,[]
A. Khoddam-Mohammadi,2002,1,[]
A. Khoudeir,1993,9,[]
A. Khvedelidze,1994,2,[]
A. Kirchberg,2002,1,[]
A. Kizilersu,2000,2,[]
A. Klemm,1992,21,[]
A. Kling,2002,1,[]
A. Kluemper,1997,1,['Cologne']
A. Knutson,1997,2,[]
A. Kobakhidze,2001,1,[]
A. Konechny,1996,11,"['UCBerkeley,LBNL']"
A. Koubek,1992,6,[]
A. Kovner,1992,10,"['Plymouth U., Math. Stat. Dept.']"
A. Krajewska,1993,3,[]
A. Krzywicki,1994,3,[]
A. Kudryavtsev,1996,2,[]
A. Kuiroukidis,1998,3,[]
A. Kumar,1992,2,[]
A. Kundu,1994,2,[]
A. Kuniba,1992,3,[]
A. L. A. Penna,2000,1,['IF/Unb']
A. L. Barbosa,2001,2,[]
A. L. Carey,1994,3,['1']
A. L. Carey.,1995,1,[]
A. L. Cavalcanti De Oliveira,2003,1,[]
A. L. Cotrone,1999,5,[]
A. L. Gadelha,2000,5,[]
A. L. Kholodenko,1993,1,[]
A. L. Koshkarov,1997,1,"['Petrozavodsk State University, Russia']"
A. L. Larsen,1993,35,"['Obs. de Paris', 'University of Alberta, Canada', 'Obs. de Paris, DEMIRM']"
A. L. M. A. Nogueira,1995,5,['CBPF - Rio de Janeiro']
A. L. Maroto I. L. Shapiro,1997,1,['Universidad Autonoma de Madrid']
A. L. N. Oliveira,2003,2,['IF/Unb']
A. L. Oliveira,2002,1,[]
A. L. Shelepin,1992,4,['Institute of Physics University of S\\~ao Paulo']
A. Lamine,1997,1,[]
A. Laugier,2000,2,[]
A. Lavagno,1995,3,[]
A. Lawrence,1993,5,[]
A. Leclair,1992,20,[]
A. Leonidov,1993,3,[]
A. Lerda,1992,24,[]
A. Lesniewski,1994,3,[]
A. Levin,2000,3,['U. of Nottingham']
A. Lewis,1996,3,['Oxford Univ.']
A. Leznov,2002,1,[]
A. Liccardo,1998,7,[]
A. Liguori,1994,5,"['ISAAS, Trieste', 'ISAS, Trieste', 'Pisa U.']"
A. Lima - Santos,1993,1,[]
A. Lima-Santos,1998,4,[]
A. Loewy,1999,4,[]
A. Lopez,1998,10,[]
A. Lorek,1995,2,[]
A. Losev,1993,13,[]
A. Lossev,1992,1,['ITEP']
A. Love,1992,25,"['Royal Holloway', 'Royal Holloway, U. of London']"
A. Ludwig,1997,1,[]
A. Lue,1994,1,[]
A. Lukas,1994,2,[]
A. Lutken,2000,1,[]
A. M. Bincer,1993,1,[]
A. M. Boyarsky,2000,1,[]
A. M. Chervyakov,1993,2,[]
A. M. El Gradechi,1992,1,[]
A. M. Fedotov,1999,4,[]
A. M. Garcia-Garcia,2000,1,[]
A. M. Gavrilik,1999,1,"['BITP, Kiev']"
A. M. Ghezelbash,1994,16,[]
A. M. Ghezelbash. M. Khorrami,1998,1,[]
A. M. Grundland,1995,1,[]
A. M. Ignatov,2000,1,[]
A. M. Khvedelidze,1995,15,[]
A. M. Kotzinian,2002,1,[]
A. M. Levin,1997,1,[]
A. M. Malokostov,1998,1,[]
A. M. Pelinson,1999,3,[]
A. M. Perelomov,1996,4,[]
A. M. Polyakov,1992,11,[]
A. M. Semikhatov,1992,7,"['Humboldt-U Berlin,P N Lebedev Physics Institute']"
A. M. Srivastava,1992,1,[]
A. M. Stuchi,2002,1,[]
A. M. Tarabay,1999,2,[]
A. M. Tsvelik,1992,4,['Oxford University']
A. M. Uranga,1994,17,[]
A. M. Zarkesh,1993,2,[]
A. Macintyre,1994,1,[]
A. Maia Jr,1999,3,[]
A. Maia Jr.,1999,1,[]
A. Mann,1999,3,[]
A. Mariottini,1996,1,[]
A. Marshakov,1992,51,[]
A. Martin,1995,2,"['CERN, Geneva']"
A. Marzuoli,1992,5,[]
A. Masiero,1993,1,[]
A. Maslikov,1996,1,['2']
A. Matos Neto,1998,2,['1']
A. Matsuo,1992,2,[]
A. Matusis,1999,1,[]
A. Matytsin,1993,3,[]
A. Megevand,1993,1,[]
A. Melikyan,1997,9,[]
A. Mennim,2000,1,[]
A. Mezhlumian,1994,1,[]
A. Meziane,2001,2,[]
A. Micu,2000,1,[]
A. Miemiec,1999,1,[]
A. Migdal,1995,1,[]
A. Mikhailov,1993,2,[]
A. Mikovic,1992,15,[]
A. Mikovicc,1994,1,[]
A. Minzoni,1996,1,[]
A. Mironov,1992,52,[]
A. Mishchenko,1994,1,[]
A. Misra,1998,6,"['Institute of Physics, Bhubaneswar, Orissa, India', 'IOP Bhubaneswar', 'Department of Physics, Indian Institute of Technology, Kanpur, UP, India']"
A. Miyake,2002,1,[]
A. Molev,1994,1,[]
A. Molinari,1996,1,[]
A. Momen,1998,2,[]
A. Mondragon,1996,2,[]
A. Montero,1996,2,[]
A. Morel,1993,1,[]
A. Morozov,1992,51,[]
A. Mostafazadeh,2000,3,[]
A. Mueller,1998,3,[]
A. Mukherjee,1994,11,"['University of Delhi, India', 'Univ. of Delhi, India']"
A. N. Ivanov,1997,15,[]
A. N. Kapustin,1994,1,[]
A. N. Kirillov,1992,2,[]
A. N. Kuznetsov,1996,2,[]
A. N. Kvinikhidze,2001,2,['U. of Manchester']
A. N. Leznov,1993,17,"['Institute for High Energy Physics, Protvino, Russia', '2, 3,4', 'Institute for High Energy Physics, Protvino, Moscow Region, Russia']"
A. N. Manashov,1995,8,['St. - Petersburg State University']
A. N. Mitra,1996,3,['anmitra@csec.ernet.in']
A. N. Pressley,1994,2,[]
A. N. Schellekens,1992,19,"['NIKHEF, Amsterdam']"
A. N. Sissakian,1994,13,"['Dubna, JINR']"
A. N. Theron,1994,3,[]
A. N. Vaidya,2002,4,[]
A. N. Vall,1996,4,[]
A. N. Varchenko,1996,1,[]
A. N. Vasilev,1993,1,[]
A. N. Vasiliev,1993,1,[]
A. Naddeo,2002,1,['Univ. degli Studi di Napoli']
A. Nakamichi,1992,4,[]
A. Nakayashiki,1992,1,[]
A. Naqvi,1998,2,['M.I.T']
A. Nayeri,2000,1,['MIT']
A. Nazarenko,2000,1,[]
A. Nersessian,1993,17,[]
A. Neveu,1995,3,"['Lab. de Phys. Math., Montpellier II-CNRS,Lawrence Berkeley Lab., Univ. of California, Berkeley.', 'Lawrence Berkeley Laboratory']"
A. Nichols,2000,10,[]
A. Nicolaidis,1994,3,[]
A. Niegawa,1994,8,[]
A. Niemeyer,1994,3,[]
A. Niemi,2001,1,[]
A. Nieto,1998,1,[]
A. Notari,2002,1,"['Scuola Normale Superiore, Pisa']"
A. Nowicki,2001,4,"['University of Zielona Gora', 'Inst. of Phys. Pedagogical University, Zielona Gora', 'Zielona Gora Univ.', ""Institute of Physics, University of Zielona G\\'{o}ra, Poland""]"
A. Nurmagambetov,1995,1,[]
A. O. Barut,1994,2,[]
A. O. Barvinsky,1994,12,[]
A. O. Caldeira,1993,1,[]
A. O. Starinets,2001,4,[]
A. Odesskii,2001,1,[]
A. Ogura,2000,1,[]
A. Opfermann,1996,4,[]
A. Orlov,1993,2,[]
A. P. B. Scarpelli,2000,1,[]
A. P. Ba^Eta Scarpelli,2003,1,[]
A. P. Baeta Scarpelli,2001,4,[]
A. P. Balachandran,1992,37,['1']
A. P. C. Malbouisson,1995,9,[]
A. P. De Almeida,1993,1,[]
A. P. Demichev,1993,4,"['CBPF/CNPQ, Rio de Janeiro']"
A. P. E. Ten Kroode,1992,1,[]
A. P. Flitney,1995,1,[]
A. P. Fordy,1995,1,[]
A. P. Isaev,1992,19,"['BLTP, Jinr, Dubna', 'Dubna']"
A. P. Korte,1997,1,[]
A. P. Nersessian,1992,3,[]
A. P. Polychronakos,1993,12,"['SHS, Oslo,ITP, Uppsala', 'CUNY , Ru']"
A. P. Protogenov,1994,2,"['1,2']"
A. P. Veselov,1999,2,[]
A. P. Zubarev,1992,8,[]
A. Pagnamenta,1994,1,[]
A. Pankiewicz,2000,3,[]
A. Panza,1997,1,[]
A. Paredes,2001,5,[]
A. Parodi,2003,1,['SISSA']
A. Pashnev,1992,28,['JINR']
A. Pasquinucci,1994,13,['Milano University']
A. Patkos,2000,1,[]
A. Patrascioiu,1997,3,['University of Arizona']
A. Peet,1993,2,[]
A. Pelissetto,2000,3,[]
A. Pelster,1999,2,[]
A. Penna-Firme,1998,2,[]
A. Perelomov,1994,1,[]
A. Perez,1996,1,[]
A. Perica,1994,2,"['Rudjer Boskovic Institute, Zagreb, Croatia']"
A. Peter,1996,1,[]
A. Peterman,1999,1,[]
A. Petermann,1993,3,[]
A. Petkos,1993,1,[]
A. Pichugin,1992,3,[]
A. Pickering,2000,1,[]
A. Pinzul,2000,7,[]
A. Pocklington,2000,1,[]
A. Polishchuk,1998,1,[]
A. Polyakov,1992,7,[]
A. Polychronakos,1993,1,[]
A. Pompos,1993,1,[]
A. Pordt,1994,1,[]
A. Quadri,2000,1,"[""Universita' di Milano,INFN, sez. di Milano""]"
A. Quartarolo,1994,1,[]
A. R. Bohm,2001,1,[]
A. R. Da Silva,1996,2,['2']
A. R. Fazio,2001,4,[]
A. R. Its,1992,1,[]
A. R. Lugo,1999,1,[]
A. R. Mkrtchyan,2002,1,[]
A. R. Pereira,1998,1,[]
A. R. Rastegar,1996,2,[]
A. R. Zhitnitsky,1996,1,['University of British Columbia']
A. Radul,1993,2,[]
A. Rago,2002,1,[]
A. Rajaraman,1996,11,['SLAC']
A. Rakhimov,2002,1,[]
A. Rathke,2002,1,[]
A. Rebhan,1992,8,[]
A. Recknagel,1992,13,"['AEI Potsdam', 'ETH Zuerich', ""King's College London""]"
A. Refolli,1995,4,[]
A. Restuccia,1993,35,"[""Universidad Sim\\'on Bol\\'{\\i}var, Caracas, Venezuela""]"
A. Restuccian,1998,1,[]
A. Resturccia,1994,1,[]
A. Rezaei-Aghdam,1997,3,[]
A. Riazuelo,2001,1,[]
A. Ribeiro Filho,2002,1,[]
A. Richardson,1998,1,[]
A. Rida,1999,2,"['1', 'USTHB, Alger, Algeria.']"
A. Riotto,2002,2,"['INFN, Padova']"
A. Ritz,1995,7,[]
A. Rivero,1996,2,"['Dep Fisica Teorica, Univ Zaragoza', 'U. of Zaragoza']"
A. Rod Gover,2001,2,[]
A. Romanenko,2001,3,"['Kiev Taras Shevtchenko University', 'Kiev Taras Shevchenko University']"
A. Romeo,1992,7,['IEEC/CSIC']
A. Rosly,1997,3,[]
A. Rozenberg,1997,1,[]
A. Ruffing,1996,1,[]
A. S. Cattaneo,1992,9,[]
A. S. Cornell,2002,1,[]
A. S. De Castro,2003,1,[]
A. S. Fokas,1995,2,[]
A. S. Galperin,1992,1,[]
A. S. Goldhaber,1993,3,[]
A. S. Gorsky,1993,4,[]
A. S. Inacio,2001,1,[]
A. S. Kapoyannis,2000,1,['Univ. of Athens']
A. S. Koshelev,1998,11,[]
A. S. Kudusov,1998,1,"['Karaganda State University, Kazakstan']"
A. S. Majumdar,1997,3,"['S. N. Bose Natl. Cntr.', 'S. N. Bose Natl. Centr.']"
A. S. Mueller,1998,1,[]
A. S. Schwarz,1992,1,[]
A. S. Sorin,1996,3,[]
A. S. Stepanenko,1993,4,['IPhys Group']
A. S. Vytheeswaran,1999,1,"['Bangalore University, India']"
A. S. Yelkhovsky,1994,1,[]
A. S. Zhedanov,1993,1,[]
A. Saa,1993,1,[]
A. Sadrzadeh,1999,6,[]
A. Sagnotti,1993,18,"['U. Roma ""Tor Vergata""']"
A. Saharain,2000,1,[]
A. Sako,1997,1,[]
A. Santambrogio,1996,11,[]
A. Schafke,1998,2,[]
