paper_id,author,year,affiliation
hep-th/9707047,Matthias Klein,1997,
hep-th/9707047,Jan Louis,1997,
hep-th/9709033,Mirjam Cvetic,1997,
hep-th/9709033,Christopher M. Hull,1997,
hep-th/9701009,T. Kitao,1997,
hep-th/9701009,S. Terashima,1997,
hep-th/9701009,S.-K. Yang,1997,
hep-th/9711121,Yurii Sitenko,1997,
hep-th/9711121,Alexei Mishchenko,1997,Bogolyubov Institute for Theoretical Physics
hep-th/9702050,Atish Dabholkar,1997,
hep-th/9705051,H. R. Karadayi,1997,
hep-th/9705051,M. Gungormez,1997,
hep-th/9707151,A. Ushveridze,1997,
hep-th/9705210,E. Sharpe,1997,
hep-th/9701118,Gabor Takacs,1997,
hep-th/9712087,R. Jackiw,1997,
hep-th/9712087,S.-Y. Pi,1997,
hep-th/9707152,M. Burkardt,1997,
hep-th/9707152,H. El-Khozondar,1997,
hep-th/9710020,M. Alishahiha,1997,
hep-th/9707101,J. M. Speight,1997,University of Texas at Austin
hep-th/9702135,Helmuth Huffel,1997,
hep-th/9702135,Gerald Kelnhofer,1997,
hep-th/9702202,J. P. Gauntlett,1997,
hep-th/9702202,G. W. Gibbons,1997,
hep-th/9702202,G. Papadopoulos,1997,
hep-th/9702202,P. K. Townsend,1997,
hep-th/9710199,Clovis Wotzasek,1997,
hep-th/9704180,H. Fujisaki,1997,Rikkyo Univ.
hep-th/9711175,Jose D. Edelstein,1997,
hep-th/9711175,Carlos Nunez,1997,
hep-th/9705016,Shibaji Roy,1997,
hep-th/9703043,M. Paschke,1997,Univ. Mainz
hep-th/9705087,Dimitra Karabali,1997,
hep-th/9705087,Chanju Kim,1997,
hep-th/9705087,V. P. Nair,1997,
hep-th/9711017,Barak Kol,1997,
hep-th/9709064,Robert B. Mann,1997,
hep-th/9709064,Sergey N. Solodukhin,1997,
hep-th/9707072,L. Lusanna,1997,
hep-th/9707072,P. Valtancoli,1997,
hep-th/9712190,Alfred S. Goldhaber,1997,"ITP, SUNY Stony Brook"
hep-th/9708023,Gerald B. Cleaver,1997,
hep-th/9712016,D. Ebert,1997,
hep-th/9712016,V. Ch. Zhukovsky,1997,
hep-th/9710182,B. J. Schroers,1997,
hep-th/9707168,Giampiero Esposito,1997,
hep-th/9707168,Alexander Yu. Kamenshchik,1997,
hep-th/9707168,Klaus Kirsten,1997,
hep-th/9701083,Adriano Di Giacomo,1997,
hep-th/9701083,Manu Mathur,1997,
hep-th/9705078,Juan M. Maldacena,1997,
hep-th/9710060,R. Banerjee,1997,
hep-th/9710060,C. Wotzasek,1997,
hep-th/9704019,N. P. Chitaia,1997,
hep-th/9704019,S. A. Gogilidze,1997,
hep-th/9704019,Yu. S. Surovtsev,1997,
hep-th/9703167,Michael Bershadsky,1997,
hep-th/9703167,Cumrun Vafa,1997,
hep-th/9703038,A. Fayyazuddin,1997,
hep-th/9703038,Y. Makeenko,1997,
hep-th/9703038,P. Olesen,1997,
hep-th/9703038,D. J. Smith,1997,
hep-th/9703038,K. Zarembo,1997,
hep-th/9709047,Haru-Tada Sato,1997,
hep-th/9702017,I. V. Gorbunov,1997,
hep-th/9702017,S. M. Kuzenko,1997,
hep-th/9702017,S. L. Lyakhovich,1997,
hep-th/9704162,Matthias Burkardt,1997,
hep-th/9701076,G. K. Savvidy,1997,
hep-th/9708053,Alexei Nurmagambetov,1997,
hep-th/9710194,D. V. Antonov,1997,"Humboldt University, Berlin,ITEP, Moscow"
hep-th/9707193,Konstantin Zyablyuk,1997,
hep-th/9705090,David Kastor,1997,
hep-th/9705090,K. Z. Win,1997,
hep-th/9705009,Helmuth Huffel,1997,
hep-th/9705009,Gerald Kelnhofer,1997,
hep-th/9712022,E. Dudas,1997,
hep-th/9712022,J. Mourad,1997,
hep-th/9707029,Keith Norton,1997,
hep-th/9707029,George Jaroszkiewicz,1997,"Mathematics Department, Nottingham University, UK"
hep-th/9702073,Pavel Grozman,1997,
hep-th/9702073,Dimitry Leites,1997,
hep-th/9708010,M. Requardt,1997,
hep-th/9710141,Hitoshi Nishino,1997,
hep-th/9707032,J. C. Perez Bueno,1997,
hep-th/9709169,Ken D. Olum,1997,
hep-th/9702128,M. Ishi-I,1997,
hep-th/9702128,T. Kashiwa,1997,
hep-th/9702128,N. Tanimura,1997,"Kyushu Univ. Fukuoka, Japan"
hep-th/9702076,Igor R. Klebanov,1997,
hep-th/9705162,C. M. Hull,1997,
hep-th/9712031,Vincenzo Marotta,1997,
hep-th/9702154,Jan De Boer,1997,
hep-th/9702154,Kentaro Hori,1997,
hep-th/9702154,Yaron Oz,1997,
hep-th/9702154,Zheng Yin,1997,
hep-th/9707036,Fiorenzo Bastianelli,1997,
hep-th/9707036,Olindo Corradini,1997,
hep-th/9712118,Mirjam Cvetic,1997,
hep-th/9712118,Finn Larsen,1997,
hep-th/9704163,L. Girardello,1997,
hep-th/9704163,M. Porrati,1997,
hep-th/9704163,A. Zaffaroni,1997,
hep-th/9709001,A. Marshakov,1997,
hep-th/9712222,P. Zinn-Justin,1997,
hep-th/9705127,L. Baulieu,1997,
hep-th/9705127,H. Kanno,1997,
hep-th/9705127,I. M. Singer,1997,
hep-th/9704158,Soo-Jong Rey,1997,
hep-th/9702043,Ram Brustein,1997,
hep-th/9702043,Richard Madden,1997,
hep-th/9705093,P. S. Howe,1997,
hep-th/9705093,E. Sezgin,1997,
hep-th/9705093,P. C. West,1997,
hep-th/9712135,J. L. F. Barbon,1997,
hep-th/9712135,A. Pasquinucci,1997,
hep-th/9704077,Pedro J. Silva,1997,Newcastle University U.K.
hep-th/9702120,Pavel Grozman,1997,
hep-th/9702120,Dimitry Leites,1997,
hep-th/9702120,Irina Shchepochkina,1997,
hep-th/9702132,Adrian R. Lugo,1997,
hep-th/9709109,Kei-Ichi Kondo,1997,Chiba Univ.
hep-th/9705136,William E. Brown,1997,
hep-th/9705136,Ian I. Kogan,1997,
hep-th/9709143,L. Oraifeartaigh,1997,
hep-th/9709143,V. V. Sreedhar,1997,
hep-th/9710215,Bernard De Wit,1997,
hep-th/9710215,Kasper Peeters,1997,
hep-th/9710215,Jan Plefka,1997,
hep-th/9703063,N. Khviengia,1997,
hep-th/9703063,Z. Khviengia,1997,
hep-th/9707074,G. Juettner,1997,
hep-th/9707074,A. Kluemper,1997,Cologne
hep-th/9707074,J. Suzuki,1997,Tokyo
hep-th/9707049,Philip Candelas,1997,
hep-th/9707049,Eugene Perevalov,1997,
hep-th/9707049,Govindan Rajesh,1997,
hep-th/9705008,A. A. Bytsenko,1997,
hep-th/9705008,L. N. Granda,1997,
hep-th/9705008,S. D. Odintsov,1997,
hep-th/9712021,Seungjoon Hyun,1997,
hep-th/9712021,Youngjai Kiem,1997,
hep-th/9712021,Hyeonjoon Shin,1997,
hep-th/9707048,Charles B. Thorn,1997,
hep-th/9704063,Mark De Wild Propitius,1997,
hep-th/9701167,A. V. Shurgaia,1997,
hep-th/9712196,E. Alvarez,1997,
hep-th/9712196,P. Meessen,1997,
hep-th/9712196,T. Ortin,1997,
hep-th/9709217,Jens Hoppe,1997,
hep-th/9708122,Nick Evans,1997,Boston Univ.
hep-th/9708122,Myck Schwetz,1997,"Yale,Rutgers"
hep-th/9710175,Robert J. Perry,1997,The Ohio State University
hep-th/9705030,Julie D. Blum,1997,
hep-th/9705030,Kenneth Intriligator,1997,
hep-th/9701099,Valter Moretti,1997,Phys. Dept. Trento University
hep-th/9709126,Sabbir Rahman,1997,
hep-th/9706057,Stefan Forste,1997,
hep-th/9706057,Debashis Ghoshal,1997,
hep-th/9706057,Sudhakar Panda,1997,
hep-th/9705104,Paul S. Aspinwall,1997,
hep-th/9705104,David R. Morrison,1997,
hep-th/9709150,L. R. Baboukhadia,1997,
hep-th/9709150,A. A. Khelashvili,1997,
hep-th/9709150,N. A. Kiknadze,1997,
hep-th/9711164,A. O. Barvinsky,1997,
hep-th/9711096,Poul H. Damgaard,1997,
hep-th/9711096,Shinsuke M. Nishigaki,1997,
hep-th/9709074,Yuri Gusev,1997,
hep-th/9709074,Andrei Zelnikov,1997,
hep-th/9712212,Adel Khoudeir,1997,
hep-th/9708038,Yoonbai Kim,1997,
hep-th/9704073,Alexander Kusenko,1997,CERN
hep-th/9701169,Bernard De Wit,1997,
hep-th/9711087,Nathan Berkovits,1997,
hep-th/9711087,Barton Zwiebach,1997,
hep-th/9705044,Julie D. Blum,1997,
hep-th/9705044,Kenneth Intriligator,1997,
hep-th/9703181,Naohisa Ogawa,1997,
hep-th/9705194,Dimitri Polyakov,1997,
hep-th/9712041,Tomasz Radozycki,1997,
hep-th/9703031,Michael Douglas,1997,
hep-th/9703031,Joseph Polchinski,1997,
hep-th/9703031,Andrew Strominger,1997,
hep-th/9702046,Hugo Garcia-Compean,1997,
hep-th/9702046,Jerzy F. Plebanski,1997,Cinvestav-Fis
hep-th/9702046,Maciej Przanowski,1997,University of Lodz
hep-th/9703116,Igor A. Shovkovy,1997,
hep-th/9709197,Alan Chodos,1997,Yale Univ.
hep-th/9709197,Hisakzau Minakata,1997,Tokyo Metropolitan Univ.
hep-th/9701142,J. L. F. Barbon,1997,
hep-th/9701142,M. A. Vazquez-Mozo,1997,
hep-th/9707039,V. Dzhunushaliev,1997,
hep-th/9708157,V. D. Ivashchuk,1997,
hep-th/9708157,V. N. Melnikov,1997,
hep-th/9712074,Shiraz Minwalla,1997,
hep-th/9703136,R. Dijkgraaf,1997,
hep-th/9703032,Michael Danos,1997,
hep-th/9708057,M. Kachkachi,1997,
hep-th/9708057,M. Nazah,1997,
hep-th/9712105,Judith Castelino,1997,
hep-th/9712105,Sangmin Lee,1997,
hep-th/9712105,Washington Taylor,1997,
hep-th/9705042,Arno Bohm,1997,
hep-th/9711132,J. M. F. Labastida,1997,
hep-th/9711132,Carlos Lozano,1997,
hep-th/9705117,Nathan Seiberg,1997,
hep-th/9710241,J. Gaite,1997,
hep-th/9709034,V. Fateev,1997,
hep-th/9709034,S. Lukyanov,1997,
hep-th/9709034,A. Zamolodchikov,1997,
hep-th/9709034,Al. Zamolodchikov,1997,
hep-th/9701106,Sergey N. Solodukhin,1997,
hep-th/9709175,D. C. Brody,1997,
hep-th/9709175,A. Ritz,1997,
hep-th/9711146,M. R. Niedermaier,1997,
hep-th/9706019,A. Bassetto,1997,
hep-th/9706019,D. Colferai,1997,
hep-th/9706019,G. Nardelli,1997,
hep-th/9705121,Masato Hisakado,1997,
hep-th/9703088,Devis Iellici,1997,
hep-th/9703088,Valter Moretti,1997,Trento University
hep-th/9708024,Kostyantin Ilienko,1997,
hep-th/9708024,Aleksandr A. Zheltukhin,1997,
hep-th/9706095,Philip C. Argyres,1997,
hep-th/9709044,Kazuo Fujikawa,1997,
hep-th/9709044,Kazumi Okuyama,1997,
hep-th/9701130,S. Cacciatori,1997,
hep-th/9701130,G. Preparata,1997,
hep-th/9701130,S. Rovelli,1997,
hep-th/9701130,I. Spagnolatti,1997,
hep-th/9701130,She-Sheng Xue,1997,
hep-th/9703179,Noureddine Hambli,1997,IHES
hep-th/9711110,P. H. Damgaard,1997,
hep-th/9712014,R. Amorim,1997,
hep-th/9712014,N. R. F. Braga,1997,
hep-th/9712014,R. Thibes,1997,
hep-th/9711003,Sumit R. Das,1997,
hep-th/9711003,Samir D. Mathur,1997,
hep-th/9711003,S. Kalyana Rama,1997,
hep-th/9711003,P. Ramadevi,1997,
hep-th/9701022,A. Leclair,1997,
hep-th/9701022,F. Lesage,1997,
hep-th/9701022,S. Lukyanov,1997,
hep-th/9701022,H. Saleur,1997,
hep-th/9708135,A. Leclair,1997,
hep-th/9708135,A. W. W. Ludwig,1997,
hep-th/9708059,Dieter Mayer,1997,
hep-th/9708059,Alexander Ushveridze,1997,
hep-th/9708059,Zbigniew Walczak,1997,
hep-th/9705238,Mitsuko Abe,1997,
hep-th/9705238,Masamichi Sato,1997,
hep-th/9712185,D. Kabat,1997,
hep-th/9712185,W. Taylor,1997,
hep-th/9710187,Krzysztof Gawedzki,1997,
hep-th/9703036,Cesar Gomez,1997,
hep-th/9703036,Rafael Hernandez,1997,"Instituto de Matematicas y Fisica Fundamental, CSIC"
hep-th/9702110,H. P. Nilles,1997,
hep-th/9702110,S. Stieberger,1997,
hep-th/9710192,N. Kim,1997,
hep-th/9710192,Soo-Jong Rey,1997,
hep-th/9708025,Sergio Ferrara,1997,
hep-th/9708025,Murat Gunaydin,1997,
hep-th/9710040,Franco Ferrari,1997,
hep-th/9710040,Jan T. Sobczyk,1997,
hep-th/9705056,Renata Kallosh,1997,
hep-th/9711192,H. D. Dahmen,1997,1
hep-th/9711192,A. A. Maslikov,1997,2
hep-th/9711192,I. A. Naumov,1997,2
hep-th/9711192,T. Stroh,1997,1
hep-th/9711192,G. G. Volkov,1997,"1,2"
hep-th/9703021,Murat Gunaydin,1997,
hep-th/9712252,P. Mitra,1997,
hep-th/9710144,D. V. Antonov,1997,"Humboldt University, Berlin,ITEP, Moscow"
hep-th/9712146,Michael B. Green,1997,
hep-th/9712146,David Kutasov,1997,
hep-th/9711123,D. H. Tchrakian,1997,
hep-th/9711123,T. N. Tomaras,1997,
hep-th/9701032,Shinichi Nojiri,1997,
hep-th/9701032,Sergei D. Odintsov,1997,
hep-th/9704017,C. Kristjansen,1997,
hep-th/9704017,P. Olesen,1997,The Niels Bohr Institute
hep-th/9707197,Nick Evans,1997,Boston University
hep-th/9705126,Djordje Minic,1997,
hep-th/9710126,M. Henningson,1997,
hep-th/9709212,R. Jackiw,1997,
hep-th/9710111,Yves Brihaye,1997,
hep-th/9710111,Piotr Kosinski,1997,
hep-th/9711194,A. Morozov,1997,
hep-th/9707099,Daniel Kabat,1997,
hep-th/9707099,Soo-Jong Rey,1997,
hep-th/9703186,M. Alishahiha,1997,
hep-th/9703096,Q-Han Park,1997,
hep-th/9703096,H. J. Shin,1997,
hep-th/9710115,G. Dunne,1997,UConn
hep-th/9710115,J. Mannix,1997,"UC, Santa Cruz"
hep-th/9703050,D. V. Antonov,1997,"Humboldt University, Berlin,ITEP, Moscow"
hep-th/9702069,V. Aldaya,1997,
hep-th/9702069,M. Calixto,1997,
hep-th/9702069,J. Guerrero,1997,
hep-th/9710056,Sahng-Kyoon Yoo,1997,
hep-th/9710056,D. K. Park,1997,
hep-th/9709223,C. Anastopoulos,1997,
hep-th/9709223,A. Zoupas,1997,
hep-th/9708022,Rajesh Gopakumar,1997,
hep-th/9708022,Sanjaye Ramgoolam,1997,
hep-th/9709211,Hirosi Ooguri,1997,UC Berkeley/LBNL
hep-th/9703012,N. Khviengia,1997,
hep-th/9703012,Z. Khviengia,1997,
hep-th/9703012,H. Lu,1997,
hep-th/9703012,C. N. Pope,1997,
hep-th/9704190,R. Argurio,1997,
hep-th/9704190,F. Englert,1997,
hep-th/9704190,L. Houart,1997,
hep-th/9704190,P. Windey,1997,
hep-th/9702058,I. V. Lavrinenko,1997,
hep-th/9702058,H. Lu,1997,
hep-th/9702058,C. N. Pope,1997,
hep-th/9702058,T. A. Tran,1997,
hep-th/9706206,M. S. Cunha,1997,
hep-th/9706206,H. R. Christiansen,1997,
hep-th/9706206,C. A. S. Almeida,1997,
hep-th/9710009,Nathan Seiberg,1997,
hep-th/9703044,Youngjai Kiem,1997,
hep-th/9703044,Chang-Yeong Lee,1997,
hep-th/9703044,Dahl Park,1997,
hep-th/9701051,F G Scholtz,1997,
hep-th/9701051,S V Shabanov,1997,
hep-th/9702127,De Leo Stefano,1997,"Dip. di Fisica, INFN, Lecce"
hep-th/9709155,A. Bonanno,1997,
hep-th/9709155,D. Zappala,1997,
hep-th/9711204,A. Kempf,1997,"DAMTP, Cambridge"
hep-th/9709132,Jens Hoppe,1997,
hep-th/9703163,S. F. Hassan,1997,
hep-th/9703163,Spenta R. Wadia,1997,
hep-th/9706182,Mark Adler,1997,
hep-th/9706182,Pierre Van Moerbeke,1997,
hep-th/9705204,Ludwik Dabrowski,1997,
hep-th/9705204,Fabrizio Nesti,1997,
hep-th/9705204,Pasquale Siniscalco,1997,
hep-th/9707153,G. Bimonte,1997,
hep-th/9707153,R. Musto,1997,
hep-th/9707153,A. Stern,1997,
hep-th/9707153,P. Vitale,1997,
hep-th/9705032,T. D. Palev,1997,
hep-th/9710121,M. M. Sheikh-Jabbari,1997,
hep-th/9708170,I. M. Krichever,1997,
hep-th/9708170,D. H. Phong,1997,
hep-th/9701060,E. Elizalde,1997,
hep-th/9701060,L. Vanzo,1997,
hep-th/9701060,S. Zerbini,1997,
hep-th/9704045,Burt A. Ovrut,1997,
hep-th/9704045,Daniel Waldram,1997,
hep-th/9704050,Bani Mitra Sodermark,1997,
hep-th/9704087,David Berenstein,1997,
hep-th/9704087,Richard Corrado,1997,
hep-th/9704087,Jacques Distler,1997,
hep-th/9712095,Thomas Schucker,1997,Marseille
hep-th/9707234,Jae Hyung Yee,1997,Yonsei Univ.
hep-th/9701065,Mikhail Plyushchay,1997,
hep-th/9711101,Leszek Hadasz,1997,
hep-th/9710190,M. Faber,1997,
hep-th/9710190,A. N. Ivanov,1997,
hep-th/9710190,N. I. Troitskaya,1997,Vienna Techn. Univ.
hep-th/9709016,X. M. Ding,1997,
hep-th/9709016,B. Y. Hou,1997,
hep-th/9709016,B. Yuan Hou,1997,
hep-th/9709016,L. Zhao,1997,
hep-th/9709114,M. Li,1997,
hep-th/9709114,E. Martinec,1997,
hep-th/9702114,Luca Lusanna,1997,INFN Florence
hep-th/9709134,V. D. Skarzhinsky,1997,
hep-th/9709134,J. Audretsch,1997,
hep-th/9709134,Ulf. Jasper,1997,
hep-th/9705183,Izumi Tsutsui,1997,
hep-th/9705183,Shogo Tanimura,1997,
hep-th/9705183,Hiroyuki Kobayashi,1997,
hep-th/9711050,B. Geyer,1997,Leipzig University
hep-th/9711050,D. Mulsch,1997,Wissenschaftszentrum e.V.
hep-th/9708086,Ruth Gregory,1997,
hep-th/9708086,Jeffrey A. Harvey,1997,
hep-th/9708086,Gregory Moore,1997,
hep-th/9711103,J. R. Reyes Martinez,1997,
hep-th/9703161,S. Balaska,1997,
hep-th/9703161,J. Maeder,1997,
hep-th/9703161,W. Ruehl,1997,
hep-th/9711024,A N Theron,1997,
hep-th/9711024,F G Scholtz,1997,
hep-th/9711024,H B Geyer,1997,
hep-th/9710201,Robert De Mello Koch,1997,
hep-th/9708034,P. K. Townsend,1997,
hep-th/9702099,Z. Guralnik,1997,
hep-th/9702099,S. Ramgoolam,1997,
hep-th/9703130,C. Adam,1997,
hep-th/9704138,Noureddine Chair,1997,
hep-th/9704005,S. Hyun,1997,
hep-th/9707142,Shinichi Nojiri,1997,
hep-th/9707142,Sergei D. Odintsov,1997,
hep-th/9711152,E. S. Moreira Jr.,1997,"IFT/UNESP, Sao Paulo"
hep-th/9709023,I. Antoniadis,1997,
hep-th/9709023,M. Quiros,1997,
hep-th/9705125,Djordje Minic,1997,
hep-th/9701186,Y. Lozano,1997,Univ. Utrecht
hep-th/9706080,Jyh-Hao Lee,1997,"Academia Sinica, Taipei"
hep-th/9706080,Oktay K. Pashaev,1997,"JINR, Dubna"
hep-th/9702125,Christof Wetterich,1997,
hep-th/9701171,K. Bardakci,1997,
hep-th/9701171,L. M. Bernardo,1997,
hep-th/9703016,Pei-Ming Ho,1997,
hep-th/9703016,Yong-Shi Wu,1997,Univ. of Utah
hep-th/9703159,Witold Skiba,1997,MIT
hep-th/9701102,Won Tae Kim,1997,
hep-th/9701102,Yong-Wan Kim,1997,
hep-th/9701102,Mu-In Park,1997,
hep-th/9701102,Young-Jai Park,1997,
hep-th/9701102,Sean J. Yoon,1997,
